Chamber_Temp_C,Moisture_Percent,Motor_Load_A,Target_Heater_PWM,Target_Fan_PWM
31.65,74.97,2.78,100.0,59.93
35.29,74.94,2.74,99.88,59.83
38.85,74.91,2.67,99.77,60.16
42.38,74.88,2.67,100.0,58.87
45.87,74.85,2.63,99.49,59.92
49.37,74.81,2.63,100.0,59.58
52.81,74.78,2.71,99.73,59.68
54.3,74.74,2.79,51.28,57.39
55.65,74.7,2.63,47.08,56.98
56.79,74.67,2.7,43.15,56.49
57.82,74.63,2.68,39.99,57.52
58.66,74.59,2.74,35.82,57.04
59.45,74.55,2.67,34.2,56.48
60.13,74.52,2.74,31.31,57.63
60.7,74.48,2.74,29.2,57.14
61.18,74.44,2.63,27.65,57.16
61.65,74.4,2.74,26.85,57.89
62.05,74.36,2.76,25.24,56.86
62.33,74.32,2.73,23.82,58.14
62.64,74.28,2.59,23.04,58.3
62.91,74.24,2.66,21.98,59.79
63.12,74.2,2.7,20.86,60.42
63.29,74.16,2.73,20.36,61.74
63.42,74.12,2.61,19.78,61.95
63.56,74.08,2.67,19.88,62.73
63.64,74.04,2.64,18.61,62.91
63.77,74.0,2.69,19.0,63.59
63.82,73.95,2.68,18.81,63.85
63.88,73.91,2.69,18.57,65.27
63.97,73.87,2.72,18.33,63.67
64.07,73.83,2.61,18.47,64.12
64.09,73.79,2.65,18.08,66.02
64.1,73.75,2.68,17.77,64.72
64.09,73.7,2.75,17.17,65.19
64.13,73.66,2.61,17.34,64.72
64.12,73.62,2.68,17.73,65.64
64.13,73.58,2.61,17.76,65.33
64.18,73.54,2.69,17.86,65.08
64.19,73.49,2.63,17.13,65.18
64.22,73.45,2.7,18.36,65.32
64.24,73.41,2.63,16.84,65.57
64.29,73.37,2.76,17.76,65.41
64.28,73.33,2.63,17.01,64.98
64.29,73.28,2.71,17.13,65.44
64.29,73.24,2.8,17.14,66.0
64.29,73.2,2.69,17.45,64.8
64.3,73.16,2.66,17.02,65.55
64.29,73.12,2.71,16.68,64.44
64.31,73.07,2.68,17.25,64.48
64.3,73.03,2.6,16.64,65.23
64.33,72.99,2.71,17.29,65.35
64.32,72.95,2.68,16.31,64.7
64.34,72.9,2.71,17.29,67.01
64.35,72.86,2.7,17.47,65.43
64.33,72.82,2.66,16.56,65.01
64.4,72.78,2.57,18.17,64.06
64.38,72.74,2.6,16.56,65.78
64.35,72.69,2.66,16.49,65.47
64.4,72.65,2.68,16.97,64.63
64.34,72.61,2.69,15.79,65.21
64.34,72.57,2.69,16.58,64.79
64.31,72.53,2.62,16.38,64.64
64.33,72.48,2.7,17.94,64.86
64.35,72.44,2.62,18.06,65.21
64.39,72.4,2.69,17.59,64.36
64.31,72.36,2.6,16.36,64.82
64.35,72.32,2.57,16.95,63.85
64.38,72.28,2.57,16.73,64.67
64.38,72.23,2.67,17.45,64.67
64.39,72.19,2.62,16.95,64.35
64.42,72.15,2.58,16.88,64.98
64.47,72.11,2.67,17.79,63.77
64.46,72.07,2.62,16.74,64.56
64.44,72.02,2.61,16.32,65.23
64.47,71.98,2.67,17.12,64.85
64.46,71.94,2.67,16.17,64.49
64.48,71.9,2.61,16.6,64.75
64.48,71.86,2.69,16.84,64.62
64.51,71.81,2.64,16.98,65.08
64.51,71.77,2.63,16.82,64.6
64.48,71.73,2.74,16.5,65.04
64.48,71.69,2.67,16.04,63.97
64.48,71.65,2.59,16.87,64.84
64.5,71.6,2.62,16.59,64.16
64.48,71.56,2.6,16.09,64.35
64.46,71.52,2.61,16.15,64.53
