Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.1,14,90.2
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.8,10,81.9
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),33.5,14,93.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.2,10,80.6
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.1,10,78.6
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.7,7,75.0
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.9,14,93.4
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),23.9,14,90.7
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.3,14,80.6
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.4,10,93.9
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.1,14,75.7
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.1,14,71.4
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.0,10,89.1
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),45.4,7,96.6
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.0,14,90.4
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.8,7,80.8
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.4,14,95.8
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),25.4,10,66.4
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.0,7,98.8
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.8,14,75.0
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),28.7,7,89.2
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.1,10,77.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.8,14,78.2
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),31.0,7,97.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),42.8,7,88.9
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.4,14,81.8
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.0,14,92.3
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,7,90.3
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.7,14,90.6
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),48.7,14,69.0
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.0,14,65.3
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.0,14,65.1
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.8,14,76.6
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.0,7,89.8
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,96.7
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.6,10,75.6
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),51.0,14,70.3
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.0,10,96.9
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.9,7,92.4
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.2,7,78.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.4,14,73.2
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.4,7,90.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.6,14,78.7
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),17.6,7,98.5
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.1,7,88.5
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.1,7,74.8
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.8,7,95.1
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.3,10,80.8
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.1,7,76.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),35.7,14,73.5
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.0,14,88.8
